Target,Postal Code,Latitude Dgr,Longitude Dgr
1,784,17.974,-66.1173
2,784,17.9807,-66.0951
3,751,17.9833,-66.2909
4,728,17.9982,-66.6292
5,757,18.0168,-66.3808
6,780,18.0446,-66.5779
7,769,18.0739,-66.3623
8,736,18.1225,-66.1339
9,791,18.1412,-65.8073
10,705,18.1442,-66.2487
11,680,18.1543,-67.1405
12,754,18.1847,-65.9669
13,725,18.2141,-66.0455
14,777,18.2312,-65.9059
15,725,18.2322,-66.0199
16,725,18.2412,-66.0407
17,725,18.2468,-66.0159
18,719,18.2604,-66.2803
19,641,18.2677,-66.7114
20,738,18.2963,-65.6448
21,738,18.3395,-65.6572
22,783,18.3416,-66.3122
23,738,18.3431,-65.6743
24,953,18.3443,-66.2771
25,926,18.357,-66.0641
26,956,18.3614,-66.1879
27,965,18.3712,-66.1096
28,976,18.3713,-66.0259
29,773,18.3767,-65.7205
30,926,18.3791,-66.054
31,745,18.3793,-65.7928
32,729,18.3803,-65.8898
33,956,18.3828,-66.1421
34,966,18.3842,-66.1172
35,987,18.3938,-65.997
36,920,18.3998,-66.0969
37,985,18.4059,-65.9649
38,961,18.4069,-66.1649
39,965,18.4107,-66.1009
40,907,18.4119,-66.2546
41,949,18.4133,-66.2544
42,603,18.4245,-67.1499
43,976,18.4315,-66.016
44,617,18.4322,-66.5513
45,949,18.4366,-66.178
46,674,18.4409,-66.4578
47,962,18.4419,-66.1185
48,692,18.4444,-66.3979
49,766,18.4452,-66.0536
50,646,18.4572,-66.2829
51,662,18.4678,-67.0225
52,659,18.4813,-66.7713
53,659,18.4834,-66.8211
54,659,18.485,-66.7714
55,96740,19.6463,-155.9909
56,96720,19.7002,-155.062
57,96732,20.8783,-156.4549
58,96814,21.2949,-157.8432
59,96813,21.3098,-157.862
60,96707,21.342,-158.0753
61,96797,21.3914,-158.0346
62,96782,21.3972,-157.9745
63,96789,21.45,-158.0056
64,96766,21.9823,-159.365
65,33034,25.4576,-80.4731
66,33033,25.484,-80.4595
67,33033,25.4969,-80.4112
68,33032,25.5207,-80.4239
69,33189,25.5709,-80.3761
70,33101,25.6239,-80.3952
71,33196,25.6853,-80.4485
72,33185,25.7414,-80.4327
73,33155,25.746,-80.3328
74,33144,25.7649,-80.3088
75,33174,25.7703,-80.3435
76,33126,25.7871,-80.3353
77,72716,25.8415,-80.3691
78,33147,25.8433,-80.2513
79,33016,25.8586,-80.3255
80,33012,25.8661,-80.2916
81,33018,25.8811,-80.3524
82,33161,25.8985,-80.1929
83,78521,25.9251,-97.477
84,33055,25.9267,-80.2622
85,33162,25.9283,-80.1712
86,33169,25.9357,-80.2077
87,33015,25.9358,-80.2959
88,78521,25.9396,-97.5353
89,78521,25.9426,-97.4241
90,78526,25.9524,-97.4809
91,33056,25.9529,-80.2437
92,78520,25.9753,-97.5204
93,33025,25.9801,-80.3098
94,33009,25.9878,-80.1239
95,33025,25.9935,-80.2504
96,33027,26.0053,-80.3183
97,33029,26.0058,-80.3896
98,33023,26.0076,-80.2044
99,33004,26.0351,-80.1364
100,33024,26.0431,-80.2585
101,34114,26.0572,-81.697
102,33330,26.0621,-80.3106
103,33328,26.0667,-80.2543
104,78578,26.069,-97.2226
105,78566,26.0746,-97.4913
106,33312,26.1191,-80.1751
107,34112,26.1252,-81.7627
108,78557,26.1253,-98.2195
109,33301,26.1363,-80.1448
110,78596,26.142,-97.9916
111,78586,26.1478,-97.6345
112,33323,26.1479,-80.3179
113,34114,26.1488,-81.6891
114,33322,26.1494,-80.2701
115,33313,26.1625,-80.2054
116,33351,26.168,-80.2543
117,78599,26.1747,-97.9878
118,78552,26.1807,-97.717
119,78537,26.1832,-98.0384
120,78503,26.1885,-98.21
121,78516,26.1911,-98.1314
122,78572,26.1936,-98.2872
123,33068,26.2053,-80.2297
124,33068,26.207,-80.2215
125,34105,26.2073,-81.7665
126,33321,26.209,-80.2703
127,78572,26.2142,-98.3082
128,33062,26.2161,-80.1086
129,33069,26.2279,-80.155
130,78501,26.236,-98.2053
131,33063,26.2375,-80.2031
132,33071,26.2422,-80.2674
133,78504,26.2438,-98.2446
134,78576,26.2466,-98.4429
135,78504,26.2563,-98.2359
136,33064,26.2597,-80.128
137,78573,26.2607,-98.3157
138,78539,26.2676,-98.2046
139,34109,26.2708,-81.7456
140,78542,26.2713,-98.1518
141,34110,26.2745,-81.8033
142,33067,26.2784,-80.2032
143,78543,26.2875,-97.9906
144,33067,26.2882,-80.2524
145,33064,26.2932,-80.096
146,78539,26.3013,-98.181
147,33442,26.303,-80.132
148,33076,26.3043,-80.2762
149,78501,26.3139,-98.3111
150,33073,26.3187,-80.2003
151,33428,26.3483,-80.2006
152,78582,26.3657,-98.7949
153,33483,26.4258,-80.0716
154,33484,26.4364,-80.1244
155,33928,26.451,-81.8168
156,78580,26.4552,-97.781
157,33436,26.4891,-80.1213
158,33931,26.4919,-81.9404
159,33435,26.4928,-80.0639
160,33912,26.5253,-81.8686
161,33436,26.529,-80.0958
162,33436,26.5293,-80.1203
163,33919,26.555,-81.9061
164,33463,26.5749,-80.1145
165,33914,26.5789,-81.9919
166,33467,26.5875,-80.1485
